20210330,Austin,"March 30, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357492,Video,http://austintx.swagit.com/play/116930/0/
20210323,Austin,"March 23, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=356959
20210323,Austin,"March 23, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357129,Video,http://austintx.swagit.com/play/116634/0/
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=355547
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=355801
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=355766
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=355928
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=355893
20210304,Austin,"March 4, 2021 Austin City Council Regular Meeting   ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356045,Video,http://austintx.swagit.com/play/114029/0/
20210407,Austin,"April 7, 2021 Health & Human Services Committee Regular Meeting ",Agenda: Health and Human Services Committee (HHSC),https://www.austintexas.gov/edims/document.cfm?id=357245
20210407,Austin,"April 7, 2021 Health & Human Services Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357864,Video,http://austintx.swagit.com/play/117268/0/
20210325,Austin,"March 25, 2021 Austin Industrial Development Corporation Board of Directors Meeting ",Agenda - AIDC,https://www.austintexas.gov/edims/document.cfm?id=356337
20210325,Austin,"March 25, 2021 Austin Industrial Development Corporation Board of Directors Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357230,Video,http://austintx.swagit.com/play/116845/0/
20210323,Austin,"March 23, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=356961
20210323,Austin,"March 23, 2021 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357130,Video,http://austintx.swagit.com/play/116638/0/
20210406,Austin,"April 6, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=357625
20210309,Austin,"March 9, 2021 Austin City Council Special Called Meeting (Joint Meeting) ",Agenda - Special Called Meeting (Joint Meeting),https://www.austintexas.gov/edims/document.cfm?id=356061
20210309,Austin,"March 9, 2021 Austin City Council Special Called Meeting (Joint Meeting) ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=356652,Video,http://austintx.swagit.com/play/114166/0/
20210415,Austin,"April 15, 2021 Mobility Committee Regular Meeting ",Agenda: Mobility Committee (MOBC),https://www.austintexas.gov/edims/document.cfm?id=357623
20210415,Austin,"April 15, 2021 Mobility Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=358425,Video,http://austintx.swagit.com/play/118706/0/
20210331,Austin,"March 31, 2021 Austin Water Oversight Committee Regular Meeting ",Agenda: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=356946
20210331,Austin,"March 31, 2021 Austin Water Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357533,Video,http://austintx.swagit.com/play/116960/0/
20210419,Austin,"April 19, 2021 Austin Water Oversight Committee Special Called Meeting ",Agenda - Special Called Meeting: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=358266
20210419,Austin,"April 19, 2021 Austin Water Oversight Committee Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=358566,Video,http://austintx.swagit.com/play/119636/0/
20210413,Austin,"April 13, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=357995
20210413,Austin,"April 13, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=358364,Video,http://austintx.swagit.com/play/118477/0/
20210408,Austin,"April 8, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=357261
20210408,Austin,"April 8, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357955,Video,http://austintx.swagit.com/play/118348/0/
20210325,Austin,"March 25, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=356336
20210325,Austin,"March 25, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357229,Video,http://austintx.swagit.com/play/116832/0/
20210426,Austin,"April 26, 2021 Public Safety Committee Regular Meeting ",Agenda: Public Safety Committee (PSC),https://www.austintexas.gov/edims/document.cfm?id=358427
20210426,Austin,"April 26, 2021 Public Safety Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359130,Video,http://austintx.swagit.com/play/119965/0/
20210428,Austin,"April 28, 2021 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=358428
20210428,Austin,"April 28, 2021 Audit and Finance Committee Regular Meeting ",Agenda Addendum: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=358904
20210428,Austin,"April 28, 2021 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359204,Video,http://austintx.swagit.com/play/120151/0/
20210406,Austin,"April 6, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=357626
20210413,Austin,"April 13, 2021 Audit and Finance Committee Special Called Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=357993
20210413,Austin,"April 13, 2021 Audit and Finance Committee Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=358249,Video,http://austintx.swagit.com/play/118505/0/
20210408,Austin,"April 8, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=357260
20210408,Austin,"April 8, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=357624
20210408,Austin,"April 8, 2021 Austin City Council Regular Meeting   ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=357793
20210408,Austin,"April 8, 2021 Austin City Council Regular Meeting   ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=357775
20210408,Austin,"April 8, 2021 Austin City Council Regular Meeting   ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357956,Video,http://austintx.swagit.com/play/118312/0/
20210503,Austin,"May 3, 2021 Housing and Planning Committee Regular Meeting ",Agenda: Housing and Planning Committee (HPC),https://www.austintexas.gov/edims/document.cfm?id=359213
20210503,Austin,"May 3, 2021 Housing and Planning Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359397,Video,http://austintx.swagit.com/play/120270/0/
20210422,Austin,"April 22, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=357992
20210422,Austin,"April 22, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359128,Video,http://austintx.swagit.com/play/119905/0/
20210331,Austin,"March 31, 2021 Austin Energy Utility Oversight Committee Regular Meeting ",Agenda: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=356945
20210331,Austin,"March 31, 2021 Austin Energy Utility Oversight Committee Regular Meeting ",Agenda Addendum: Austin Energy Utility Oversight Committee (AEUOC),https://www.austintexas.gov/edims/document.cfm?id=357246
20210331,Austin,"March 31, 2021 Austin Energy Utility Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357535,Video,http://austintx.swagit.com/play/116960/0/
20210420,Austin,"April 20, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=358452
20210420,Austin,"April 20, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359131,Video,http://austintx.swagit.com/play/119670/0/
20210504,Austin,"May 4, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting: Joint Meeting with Travis County Commissioners Court,https://www.austintexas.gov/edims/document.cfm?id=359302
20210504,Austin,"May 4, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359507,Video,http://austintx.swagit.com/play/120356/0/
20210513,Austin,"May 13, 2021 Austin Water Oversight Committee Regular Meeting ",Agenda: Austin Water Oversight Committee (AWOC),https://www.austintexas.gov/edims/document.cfm?id=359300
20210513,Austin,"May 13, 2021 Austin Water Oversight Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=360107,Video,http://austintx.swagit.com/play/120863/0/
20210427,Austin,"April 27, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=358903
20210427,Austin,"April 27, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359227,Video,http://austintx.swagit.com/play/120030/0/
20210506,Austin,"May 6, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Agenda: Austin Housing Finance Corporation (AHFC),https://www.austintexas.gov/edims/document.cfm?id=358919
20210506,Austin,"May 6, 2021 Austin Housing Finance Corporation (AHFC) Board of Directors AHFC Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359666,Video,http://austintx.swagit.com/play/120520/0/
20210517,Austin,"May 17, 2021 Austin City Council Special Called Meeting ",Agenda - Special Called Meeting,https://www.austintexas.gov/edims/document.cfm?id=360100
20210517,Austin,"May 17, 2021 Austin City Council Special Called Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=360301,Video,http://austintx.swagit.com/play/121532/0/
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=357994
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Combined Agenda and Addenda,https://www.austintexas.gov/edims/document.cfm?id=358528
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=358450
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Agenda Addendum: Second Addendum,https://www.austintexas.gov/edims/document.cfm?id=358515
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=358699
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=358653
20210422,Austin,"April 22, 2021 Austin City Council Regular Meeting   ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359129,Video,http://austintx.swagit.com/play/119899/0/
20210519,Austin,"May 19, 2021 Austin City Council Discussion ",Agenda - Discussion,https://www.austintexas.gov/edims/document.cfm?id=360099
20210331,Austin,"March 31, 2021 Audit and Finance Committee Regular Meeting ",Agenda: Audit and Finance Committee (AFC),https://www.austintexas.gov/edims/document.cfm?id=356944
20210331,Austin,"March 31, 2021 Audit and Finance Committee Regular Meeting ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=357534,Video,http://austintx.swagit.com/play/116958/0/
20210427,Austin,"April 27, 2021 Austin City Council Special Called Meeting (Joint Meeting) ",Agenda - Special Called Meeting (Joint Meeting),https://www.austintexas.gov/edims/document.cfm?id=358902
20210427,Austin,"April 27, 2021 Austin City Council Special Called Meeting (Joint Meeting) ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=359177,Video,http://austintx.swagit.com/play/120036/0/
20210420,Austin,"April 20, 2021 Austin City Council Work Session ",Agenda - Revised: Work Session,https://www.austintexas.gov/edims/document.cfm?id=358496
20210420,Austin,"April 20, 2021 Austin City Council Work Session ",Agenda - Work Session,https://www.austintexas.gov/edims/document.cfm?id=358451
20210420,Austin,"April 20, 2021 Austin City Council Work Session ",Transcript,https://www.austintexas.gov/edims/document.cfm?id=358654,Video,http://austintx.swagit.com/play/119774/0/
20210520,Austin,"May 20, 2021 Austin City Council Regular Meeting   ",Agenda,https://www.austintexas.gov/edims/document.cfm?id=359716
20210520,Austin,"May 20, 2021 Austin City Council Regular Meeting   ",Combined Agenda and Addendum,https://www.austintexas.gov/edims/document.cfm?id=360302
20210520,Austin,"May 20, 2021 Austin City Council Regular Meeting   ",Agenda Addendum,https://www.austintexas.gov/edims/document.cfm?id=360150
20210520,Austin,"May 20, 2021 Austin City Council Regular Meeting   ",Agenda Changes and Corrections,https://www.austintexas.gov/edims/document.cfm?id=360408
20210520,Austin,"May 20, 2021 Austin City Council Regular Meeting   ",Agenda Questions and Answers,https://www.austintexas.gov/edims/document.cfm?id=360396
